id,street,street_type,zip,address,latitude,longitude
651,Natoma,St,94103,"651 Natoma St, San Francisco, CA 94103, USA",37.77738,-122.410971
1479,Van Dyke,Ave,94124,"1479 Van Dyke Ave, San Francisco, CA 94124, USA",37.727668,-122.390315
1541,Filbert,St,94123,"1541 Filbert St, San Francisco, CA 94123, USA",37.799111,-122.424916
439,38th,Ave,94121,"439 38th Ave, San Francisco, CA 94121, USA",37.780594,-122.499073
455,Linden,St,94102,"455 Linden St, San Francisco, CA 94102, USA",37.775974,-122.425419
667,Shotwell,St,94110,"667 Shotwell St, San Francisco, CA 94110, USA",37.757791,-122.415364
383,Crescent,Ave,94110,"383 Crescent Ave, San Francisco, CA 94110, USA",37.735128,-122.417123
573,8th,Ave,94118,"573 8th Ave, San Francisco, CA 94118, USA",37.777609,-122.466517
2629,19th,St,94110,"2629 19th St, San Francisco, CA 94110, USA",37.760339,-122.408826
2422,Anza,St,94118,"2422 Anza St, San Francisco, CA 94118, USA",37.778879,-122.474331
35,Bridgeview,Dr,94124,"35 Bridgeview Dr, San Francisco, CA 94124, USA",37.734399,-122.39424
279,Stonecrest,Dr,94132,"279 Stonecrest Dr, San Francisco, CA 94132, USA",37.725636,-122.47392
824,Green,St,94109,"824 Green St, San Francisco, CA 94133, USA",37.799228,-122.412796
2526,26th,Ave,94116,"2526 26th Ave, San Francisco, CA 94116, USA",37.740318,-122.482695
1651,11th,Ave,94122,"1651 11th Ave, San Francisco, CA 94122, USA",37.757376,-122.468322
525,23rd,Ave,94121,"525 23rd Ave, San Francisco, CA 94121, USA",37.777759,-122.482746
1310,45th,Ave,94122,"1310 45th Ave, San Francisco, CA 94122, USA",37.762062,-122.504717
2914,Fulton,St,94118,"2914 Fulton St, San Francisco, CA 94118, USA",37.773762,-122.463044
292,14th,St,94103,"292 14th St, San Francisco, CA 94103, USA",37.7683229,-122.4197766
700,Cesar Chavez,St,94124,"700 Cesar Chavez, San Francisco, CA 94124, USA",37.7505011,-122.3837729
1406,Oakdale,Ave,94124,"1406 Oakdale Ave, San Francisco, CA 94124, USA",37.732797,-122.386617
1325,Valencia,St,94110,"1325 Valencia St, San Francisco, CA 94110, USA",37.751699,-122.420274
377,Santa Ana,Ave,94127,"377 Santa Ana Ave, San Francisco, CA 94127, USA",37.729987,-122.467981
165,Fell,St,94102,"165 Fell St, San Francisco, CA 94102, USA",37.775961,-122.420648
1245,16th,Ave,94122,"1245 16th Ave, San Francisco, CA 94122, USA",37.7647282,-122.4740029
277,8th,Ave,94118,"277 8th Ave, San Francisco, CA 94118, USA",37.78332,-122.4666294
2610,Jackson,St,94115,"2610 Jackson St, San Francisco, CA 94115, USA",37.792282,-122.438358
358,Moscow,St,94112,"358 Moscow St, San Francisco, CA 94112, USA",37.722028,-122.427389
2020,Balboa,St,94121,"2020 Balboa St, San Francisco, CA 94121, USA",37.776722,-122.480637
